Beat-LocalCoin-SGX
10,0.321595,0.285116,0.529475,0.226643,0.257828,0.561864,0.371817
100,0.25373,0.254309,0.371114,0.239487,0.241294,0.231331,0.268421
250,0.447373,0.22739,0.319728,0.429192,0.303934,0.341118,0.627727
500,0.313921,0.324436,0.230343,0.504018,0.417113,0.340055,0.545095
750,0.554643,0.355559,0.662562,0.607529,0.391067,0.600152,0.593895
1000,0.991335,0.993963,1.000803,1.141023,0.974944,1.182718,1.162655
2500,3.114492,3.054833,3.063213,3.343455,3.169434,3.26061,3.457821
5000,7.778952,7.765765,7.489661,7.663949,7.467493,7.605342,7.652672
7500,11.774625,11.758565,11.695629,11.934793,10.864281,11.751053,12.068477
10000,15.880496,15.723744,15.69647,15.837346,15.711389,15.787855,15.879709
25000,40.715693,40.91878,40.664056,40.767104,40.849102,40.898772,40.811208
50000,82.815032,82.883274,82.832184,82.755607,82.705776,82.716308,82.714716
75000,124.563498,124.684013,124.561845,124.815002,124.853829,124.677327,124.946895
100000,166.335939,166.34088,166.527785,166.32915,166.492572,166.567116,166.653291
